,name,exchange,symbol,year,Name,Market Cap,Sector,Industry,Country
5390,NASDAQ_ACET_2016.pdf,NASDAQ,ACET,2016,Adicet Bio Inc. Common Stock ,127154455.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
5461,NASDAQ_ACET_2017.pdf,NASDAQ,ACET,2017,Adicet Bio Inc. Common Stock ,127154455.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
5542,NASDAQ_ACET_2018.pdf,NASDAQ,ACET,2018,Adicet Bio Inc. Common Stock ,127154455.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
5640,NASDAQ_ACGL_2017.pdf,NASDAQ,ACGL,2017,Arch Capital Group Ltd. Common Stock,30252515402.0,Finance,Property-Casualty Insurers,Bermuda
5803,NASDAQ_ACGL_2018.pdf,NASDAQ,ACGL,2018,Arch Capital Group Ltd. Common Stock,30252515402.0,Finance,Property-Casualty Insurers,Bermuda
5964,NASDAQ_ACGL_2019.pdf,NASDAQ,ACGL,2019,Arch Capital Group Ltd. Common Stock,30252515402.0,Finance,Property-Casualty Insurers,Bermuda
6060,NASDAQ_ACGL_2020.pdf,NASDAQ,ACGL,2020,Arch Capital Group Ltd. Common Stock,30252515402.0,Finance,Property-Casualty Insurers,Bermuda
6212,NASDAQ_ACGL_2021.pdf,NASDAQ,ACGL,2021,Arch Capital Group Ltd. Common Stock,30252515402.0,Finance,Property-Casualty Insurers,Bermuda
6373,NASDAQ_ACHC_2019.pdf,NASDAQ,ACHC,2019,Acadia Healthcare Company Inc. Common Stock,6893396933.0,Health Care,Medical Specialities,United States
6472,NASDAQ_ACHC_2020.pdf,NASDAQ,ACHC,2020,Acadia Healthcare Company Inc. Common Stock,6893396933.0,Health Care,Medical Specialities,United States
6514,NASDAQ_ACHC_2021.pdf,NASDAQ,ACHC,2021,Acadia Healthcare Company Inc. Common Stock,6893396933.0,Health Care,Medical Specialities,United States
6601,NASDAQ_ACHC_2022.pdf,NASDAQ,ACHC,2022,Acadia Healthcare Company Inc. Common Stock,6893396933.0,Health Care,Medical Specialities,United States
6684,NASDAQ_ACHN_2015.pdf,NASDAQ,ACHN,2015,,,NoInfo,NoInfo,NoInfo
6791,NASDAQ_ACHN_2016.pdf,NASDAQ,ACHN,2016,,,NoInfo,NoInfo,NoInfo
6902,NASDAQ_ACHN_2017.pdf,NASDAQ,ACHN,2017,,,NoInfo,NoInfo,NoInfo
7016,NASDAQ_ACHN_2018.pdf,NASDAQ,ACHN,2018,,,NoInfo,NoInfo,NoInfo
7135,NASDAQ_ACHV_2017.pdf,NASDAQ,ACHV,2017,Achieve Life Sciences Inc. Common Shares,95616028.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
7270,NASDAQ_ACHV_2018.pdf,NASDAQ,ACHV,2018,Achieve Life Sciences Inc. Common Shares,95616028.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
7395,NASDAQ_ACHV_2019.pdf,NASDAQ,ACHV,2019,Achieve Life Sciences Inc. Common Shares,95616028.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
7482,NASDAQ_ACHV_2020.pdf,NASDAQ,ACHV,2020,Achieve Life Sciences Inc. Common Shares,95616028.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
7561,NASDAQ_ACHV_2021.pdf,NASDAQ,ACHV,2021,Achieve Life Sciences Inc. Common Shares,95616028.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,United States
7649,NASDAQ_ACIA_2016.pdf,NASDAQ,ACIA,2016,,,NoInfo,NoInfo,NoInfo
7728,NASDAQ_ACIA_2017.pdf,NASDAQ,ACIA,2017,,,NoInfo,NoInfo,NoInfo
7810,NASDAQ_ACIA_2019.pdf,NASDAQ,ACIA,2019,,,NoInfo,NoInfo,NoInfo
7901,NASDAQ_ACIU_2018.pdf,NASDAQ,ACIU,2018,AC Immune SA Common Stock,244170400.0,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland
8111,NASDAQ_ACIU_2019.pdf,NASDAQ,ACIU,2019,AC Immune SA Common Stock,244170400.0,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland
8266,NASDAQ_ACIU_2020.pdf,NASDAQ,ACIU,2020,AC Immune SA Common Stock,244170400.0,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland
8448,NASDAQ_ACIU_2021.pdf,NASDAQ,ACIU,2021,AC Immune SA Common Stock,244170400.0,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland
8490,NASDAQ_ACIU_2022.pdf,NASDAQ,ACIU,2022,AC Immune SA Common Stock,244170400.0,Health Care,Biotechnology: Pharmaceutical Preparations,Switzerland
8547,NASDAQ_ACIW_2019.pdf,NASDAQ,ACIW,2019,ACI Worldwide Inc. Common Stock,2597569018.0,Technology,EDP Services,United States
8617,NASDAQ_ACIW_2020.pdf,NASDAQ,ACIW,2020,ACI Worldwide Inc. Common Stock,2597569018.0,Technology,EDP Services,United States
8687,NASDAQ_ACIW_2021.pdf,NASDAQ,ACIW,2021,ACI Worldwide Inc. Common Stock,2597569018.0,Technology,EDP Services,United States
8750,NASDAQ_ACIW_2022.pdf,NASDAQ,ACIW,2022,ACI Worldwide Inc. Common Stock,2597569018.0,Technology,EDP Services,United States
8812,NASDAQ_ACMR_2017.pdf,NASDAQ,ACMR,2017,ACM Research Inc. Class A Common Stock,770584712.0,Technology,Industrial Machinery/Components,United States
8905,NASDAQ_ACMR_2018.pdf,NASDAQ,ACMR,2018,ACM Research Inc. Class A Common Stock,770584712.0,Technology,Industrial Machinery/Components,United States
8985,NASDAQ_ACMR_2019.pdf,NASDAQ,ACMR,2019,ACM Research Inc. Class A Common Stock,770584712.0,Technology,Industrial Machinery/Components,United States
9072,NASDAQ_ACMR_2020.pdf,NASDAQ,ACMR,2020,ACM Research Inc. Class A Common Stock,770584712.0,Technology,Industrial Machinery/Components,United States
9178,NASDAQ_ACMR_2021.pdf,NASDAQ,ACMR,2021,ACM Research Inc. Class A Common Stock,770584712.0,Technology,Industrial Machinery/Components,United States
9332,NASDAQ_ACNB_2017.PDF,NASDAQ,ACNB,2017,ACNB Corporation Common Stock,296183146.0,Finance,Major Banks,United States
9339,NASDAQ_ACNB_2018.PDF,NASDAQ,ACNB,2018,ACNB Corporation Common Stock,296183146.0,Finance,Major Banks,United States
9347,NASDAQ_ACNB_2019.pdf,NASDAQ,ACNB,2019,ACNB Corporation Common Stock,296183146.0,Finance,Major Banks,United States
9356,NASDAQ_ACNB_2020.pdf,NASDAQ,ACNB,2020,ACNB Corporation Common Stock,296183146.0,Finance,Major Banks,United States
9364,NASDAQ_ACNB_2021.pdf,NASDAQ,ACNB,2021,ACNB Corporation Common Stock,296183146.0,Finance,Major Banks,United States
9455,NASDAQ_ACOR_2019.pdf,NASDAQ,ACOR,2019,Acorda Therapeutics Inc. Common Stock,20017758.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
9457,NASDAQ_ACOR_2020.pdf,NASDAQ,ACOR,2020,Acorda Therapeutics Inc. Common Stock,20017758.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
9459,NASDAQ_ACOR_2022.pdf,NASDAQ,ACOR,2022,Acorda Therapeutics Inc. Common Stock,20017758.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
9662,NASDAQ_ACRS_2017.pdf,NASDAQ,ACRS,2017,Aclaris Therapeutics Inc. Common Stock,737892884.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
9767,NASDAQ_ACRS_2018.pdf,NASDAQ,ACRS,2018,Aclaris Therapeutics Inc. Common Stock,737892884.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
9950,NASDAQ_ACRS_2019.pdf,NASDAQ,ACRS,2019,Aclaris Therapeutics Inc. Common Stock,737892884.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10076,NASDAQ_ACRS_2020.pdf,NASDAQ,ACRS,2020,Aclaris Therapeutics Inc. Common Stock,737892884.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10197,NASDAQ_ACRS_2021.pdf,NASDAQ,ACRS,2021,Aclaris Therapeutics Inc. Common Stock,737892884.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10333,NASDAQ_ACRX_2017.pdf,NASDAQ,ACRX,2017,AcelRx Pharmaceuticals Inc. Common Stock,11688995.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10444,NASDAQ_ACRX_2018.pdf,NASDAQ,ACRX,2018,AcelRx Pharmaceuticals Inc. Common Stock,11688995.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10567,NASDAQ_ACRX_2019.pdf,NASDAQ,ACRX,2019,AcelRx Pharmaceuticals Inc. Common Stock,11688995.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10676,NASDAQ_ACRX_2020.pdf,NASDAQ,ACRX,2020,AcelRx Pharmaceuticals Inc. Common Stock,11688995.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10783,NASDAQ_ACRX_2021.pdf,NASDAQ,ACRX,2021,AcelRx Pharmaceuticals Inc. Common Stock,11688995.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
10898,NASDAQ_ACTG_2019.pdf,NASDAQ,ACTG,2019,Acacia Research Corporation (Acacia Tech) Common Stock,238305818.0,Miscellaneous,Multi-Sector Companies,United States
11001,NASDAQ_ACTG_2020.pdf,NASDAQ,ACTG,2020,Acacia Research Corporation (Acacia Tech) Common Stock,238305818.0,Miscellaneous,Multi-Sector Companies,United States
11065,NASDAQ_ACTG_2021.pdf,NASDAQ,ACTG,2021,Acacia Research Corporation (Acacia Tech) Common Stock,238305818.0,Miscellaneous,Multi-Sector Companies,United States
11141,NASDAQ_ACTG_2022.pdf,NASDAQ,ACTG,2022,Acacia Research Corporation (Acacia Tech) Common Stock,238305818.0,Miscellaneous,Multi-Sector Companies,United States
11240,NASDAQ_ACUR_2017.pdf,NASDAQ,ACUR,2017,,,NoInfo,NoInfo,NoInfo
11376,NASDAQ_ACUR_2018.pdf,NASDAQ,ACUR,2018,,,NoInfo,NoInfo,NoInfo
11487,NASDAQ_ACUR_2019.pdf,NASDAQ,ACUR,2019,,,NoInfo,NoInfo,NoInfo
11618,NASDAQ_ACUR_2020.pdf,NASDAQ,ACUR,2020,,,NoInfo,NoInfo,NoInfo
11693,NASDAQ_ACXM_2014.pdf,NASDAQ,ACXM,2014,,,NoInfo,NoInfo,NoInfo
11760,NASDAQ_ACXM_2015.pdf,NASDAQ,ACXM,2015,,,NoInfo,NoInfo,NoInfo
11829,NASDAQ_ACXM_2016.pdf,NASDAQ,ACXM,2016,,,NoInfo,NoInfo,NoInfo
11897,NASDAQ_ACXM_2017.pdf,NASDAQ,ACXM,2017,,,NoInfo,NoInfo,NoInfo
11969,NASDAQ_ACXM_2018.pdf,NASDAQ,ACXM,2018,,,NoInfo,NoInfo,NoInfo
12037,NASDAQ_ADAP_2017.pdf,NASDAQ,ADAP,2017,Adaptimmune Therapeutics plc American Depositary Shares,154931677.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United Kingdom
12088,NASDAQ_ADAP_2018.pdf,NASDAQ,ADAP,2018,Adaptimmune Therapeutics plc American Depositary Shares,154931677.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United Kingdom
12140,NASDAQ_ADAP_2019.pdf,NASDAQ,ADAP,2019,Adaptimmune Therapeutics plc American Depositary Shares,154931677.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United Kingdom
12398,NASDAQ_ADAP_2020.pdf,NASDAQ,ADAP,2020,Adaptimmune Therapeutics plc American Depositary Shares,154931677.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United Kingdom
12506,NASDAQ_ADAP_2021.pdf,NASDAQ,ADAP,2021,Adaptimmune Therapeutics plc American Depositary Shares,154931677.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United Kingdom
12620,NASDAQ_ADBE_2020.pdf,NASDAQ,ADBE,2020,Adobe Inc. Common Stock,237092856000.0,Technology,Computer Software: Prepackaged Software,United States
12707,NASDAQ_ADBE_2021.pdf,NASDAQ,ADBE,2021,Adobe Inc. Common Stock,237092856000.0,Technology,Computer Software: Prepackaged Software,United States
12781,NASDAQ_ADBE_2022.pdf,NASDAQ,ADBE,2022,Adobe Inc. Common Stock,237092856000.0,Technology,Computer Software: Prepackaged Software,United States
12853,NASDAQ_ADES_2017.pdf,NASDAQ,ADES,2017,Advanced Emissions Solutions Inc. Common Stock,63988112.0,Industrials,Major Chemicals,United States
12953,NASDAQ_ADES_2018.pdf,NASDAQ,ADES,2018,Advanced Emissions Solutions Inc. Common Stock,63988112.0,Industrials,Major Chemicals,United States
13039,NASDAQ_ADES_2019.pdf,NASDAQ,ADES,2019,Advanced Emissions Solutions Inc. Common Stock,63988112.0,Industrials,Major Chemicals,United States
13120,NASDAQ_ADES_2020.pdf,NASDAQ,ADES,2020,Advanced Emissions Solutions Inc. Common Stock,63988112.0,Industrials,Major Chemicals,United States
13206,NASDAQ_ADES_2021.pdf,NASDAQ,ADES,2021,Advanced Emissions Solutions Inc. Common Stock,63988112.0,Industrials,Major Chemicals,United States
13286,NASDAQ_ADIL_2018.pdf,NASDAQ,ADIL,2018,Adial Pharmaceuticals Inc Common Stock,7862017.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
13404,NASDAQ_ADIL_2019.pdf,NASDAQ,ADIL,2019,Adial Pharmaceuticals Inc Common Stock,7862017.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
13528,NASDAQ_ADIL_2020.pdf,NASDAQ,ADIL,2020,Adial Pharmaceuticals Inc Common Stock,7862017.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
13652,NASDAQ_ADIL_2021.pdf,NASDAQ,ADIL,2021,Adial Pharmaceuticals Inc Common Stock,7862017.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
13802,NASDAQ_ADI_2018.pdf,NASDAQ,ADI,2018,Analog Devices Inc. Common Stock,95093981354.0,Technology,Semiconductors,United States
13927,NASDAQ_ADI_2019.pdf,NASDAQ,ADI,2019,Analog Devices Inc. Common Stock,95093981354.0,Technology,Semiconductors,United States
14014,NASDAQ_ADI_2020.pdf,NASDAQ,ADI,2020,Analog Devices Inc. Common Stock,95093981354.0,Technology,Semiconductors,United States
14098,NASDAQ_ADI_2021.pdf,NASDAQ,ADI,2021,Analog Devices Inc. Common Stock,95093981354.0,Technology,Semiconductors,United States
14185,NASDAQ_ADMA_2017.pdf,NASDAQ,ADMA,2017,ADMA Biologics Inc Common Stock,835746337.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
14273,NASDAQ_ADMA_2018.pdf,NASDAQ,ADMA,2018,ADMA Biologics Inc Common Stock,835746337.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
14368,NASDAQ_ADMA_2019.pdf,NASDAQ,ADMA,2019,ADMA Biologics Inc Common Stock,835746337.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
14465,NASDAQ_ADMA_2020.pdf,NASDAQ,ADMA,2020,ADMA Biologics Inc Common Stock,835746337.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
14630,NASDAQ_ADMA_2021.pdf,NASDAQ,ADMA,2021,ADMA Biologics Inc Common Stock,835746337.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
14756,NASDAQ_ADMP_2019.pdf,NASDAQ,ADMP,2019,Adamis Pharmaceuticals Corporation Common Stock,349706363.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
14859,NASDAQ_ADMP_2020.pdf,NASDAQ,ADMP,2020,Adamis Pharmaceuticals Corporation Common Stock,349706363.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
14992,NASDAQ_ADMP_2021.pdf,NASDAQ,ADMP,2021,Adamis Pharmaceuticals Corporation Common Stock,349706363.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
15099,NASDAQ_ADMP_2022.pdf,NASDAQ,ADMP,2022,Adamis Pharmaceuticals Corporation Common Stock,349706363.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
15194,NASDAQ_ADMS_2015.pdf,NASDAQ,ADMS,2015,Adamas Pharmaceuticals,376369152.0,NoInfo,NoInfo,United States
15292,NASDAQ_ADMS_2016.pdf,NASDAQ,ADMS,2016,Adamas Pharmaceuticals,376369152.0,NoInfo,NoInfo,United States
15388,NASDAQ_ADMS_2017.PDF,NASDAQ,ADMS,2017,Adamas Pharmaceuticals,376369152.0,NoInfo,NoInfo,United States
15491,NASDAQ_ADMS_2018.pdf,NASDAQ,ADMS,2018,Adamas Pharmaceuticals,376369152.0,NoInfo,NoInfo,United States
15590,NASDAQ_ADMS_2019.pdf,NASDAQ,ADMS,2019,Adamas Pharmaceuticals,376369152.0,NoInfo,NoInfo,United States
15684,NASDAQ_ADPT_2019.pdf,NASDAQ,ADPT,2019,Adaptive Biotechnologies Corporation Common Stock,1111194700.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
15808,NASDAQ_ADPT_2020.pdf,NASDAQ,ADPT,2020,Adaptive Biotechnologies Corporation Common Stock,1111194700.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
15957,NASDAQ_ADPT_2021.pdf,NASDAQ,ADPT,2021,Adaptive Biotechnologies Corporation Common Stock,1111194700.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
16081,NASDAQ_ADRO_2016.pdf,NASDAQ,ADRO,2016,Aduro Biotech,236611232.0,NoInfo,NoInfo,United States
16199,NASDAQ_ADRO_2017.pdf,NASDAQ,ADRO,2017,Aduro Biotech,236611232.0,NoInfo,NoInfo,United States
16306,NASDAQ_ADRO_2018.pdf,NASDAQ,ADRO,2018,Aduro Biotech,236611232.0,NoInfo,NoInfo,United States
16451,NASDAQ_ADRO_2019.pdf,NASDAQ,ADRO,2019,Aduro Biotech,236611232.0,NoInfo,NoInfo,United States
16567,NASDAQ_ADTN_2019.pdf,NASDAQ,ADTN,2019,ADTRAN Holdings Inc. Common Stock,803857503.0,Utilities,Telecommunications Equipment,United States
16611,NASDAQ_ADTN_2020.pdf,NASDAQ,ADTN,2020,ADTRAN Holdings Inc. Common Stock,803857503.0,Utilities,Telecommunications Equipment,United States
16695,NASDAQ_ADTN_2021.pdf,NASDAQ,ADTN,2021,ADTRAN Holdings Inc. Common Stock,803857503.0,Utilities,Telecommunications Equipment,United States
16791,NASDAQ_ADTN_2022.pdf,NASDAQ,ADTN,2022,ADTRAN Holdings Inc. Common Stock,803857503.0,Utilities,Telecommunications Equipment,United States
16938,NASDAQ_ADUS_2019.pdf,NASDAQ,ADUS,2019,Addus HomeCare Corporation Common Stock,1500197890.0,Health Care,Medical/Nursing Services,United States
